Id,StateAbbr,AttorneyUno,City,County,StateName,PostalCode,CreatedUtc
38,UT,3973713F-C272-458D-8C0E-3D853D7BF112,"Salt Lake City","Salt Lake",Utah,84111,"2016-12-22 16:45:58"
39,VA,73E37770-FDD0-4E6C-A9AD-10E544277090,Richmond,Richmond,Virginia,23238,"2016-08-22 15:32:34"
40,VT,83DF6600-4CBD-46D5-9881-70DAD8A2B029,Montpelier,Windsor,Vermont,05601,"2016-09-08 12:50:24"
41,WY,C9355112-5485-4B7D-AC20-A7F5443E274B,Ashton,Albany,Wyoming,83420,"2016-08-17 21:50:00"
42,AK,46E0CCB2-7F95-4240-BB40-3024D3305FBC,Anchorage,"Anchorage Municipality",Alaska,99501,"2016-09-12 19:32:02"
43,CT,1EE22B25-E02B-4FA4-8ACC-8C36172B780A,Hartford,"New Haven",Connecticut,06110,"2016-08-26 16:14:24"
44,IL,36A43BA9-A94A-4017-8F56-8627FE76E9A9,Chicago,Cook,Illinois,60462,"2016-09-15 19:49:28"
45,KS,451CA2A9-A589-4018-919F-A7389EBCBF2D,Pittsburg,Crawford,Kansas,66762,"2016-09-28 16:58:33"
46,LA,A6A7CE2D-0143-47D2-9CF9-3FDFF99F2380,Opelousas,"St. Landry",Louisiana,70570,"2016-08-22 15:14:23"
47,MA,D8163C55-901F-4F31-BC3B-56B09716A319,"Jamaica Plain",Suffolk,Massachusetts,02130,"2016-09-21 21:28:36"
48,MD,5EEC0D70-5730-47BC-90D3-5ABCDA02F86D,Towson,Baltimore,Maryland,21284,"2016-10-04 14:44:06"
49,MS,71C83C7D-9BB9-4DB7-AA71-7279AA7E1343,Oxford,Lafayette,Mississippi,38655,"2016-08-28 16:23:30"
50,NE,15F9DBC7-E625-4F30-93B2-C29D5F9BBBA2,Omaha,Douglas,Nebraska,68154,"2016-09-27 17:29:28"
51,NY,5421FF27-5AB5-4DD5-A05B-45F078DB893E,"New York","New York","New York",10158,"2016-08-19 20:32:21"
52,OK,D53501F9-EF35-4336-96E7-FA2FD285CA44,Tulsa,Tulsa,Oklahoma,74119,"2016-08-16 14:58:04"
53,SD,45316280-25C6-45C5-A529-4FFD2FE1F8AB,Vermillion,Clay,"South Dakota",57069,"2016-10-09 22:39:48"
54,TX,1D868663-FBA7-407E-B184-037F2D769447,Dallas,Dallas,Texas,75202,"2016-10-19 21:57:42"
55,VA,DE3DBA38-C035-4FE7-9C8B-51416141B7B6,Charlottesville,"Charlottesville (city)",Virginia,22902,"2016-08-22 15:32:43"
56,VT,39863DEB-405F-41AF-AB3C-C2EFD145ADEC,"North Clarendon",Rutland,Vermont,05759,"2016-09-08 15:47:53"
57,WY,D97BA7B8-E788-4258-82B9-2E24B49D3441,Cheyenne,Laramie,Wyoming,82001,"2016-08-20 20:25:35"
58,AK,C126C566-9039-4991-BDD8-0CDD05C27DDF,Anchorage,"Anchorage Municipality",Alaska,99501,"2016-09-13 01:01:42"
59,IL,8E34F816-85C1-4BE1-8E6D-0ED8D0FB70D2,Edwardsville,Madison,Illinois,62025,"2016-09-23 18:55:19"
60,KS,4A116E9C-302F-472B-B975-B44932F918AD,Gardner,Johnson,Kansas,66030,"2016-09-28 17:53:06"
61,LA,F49ABF2E-C86B-4D64-9910-A22C36CA556E,"New ORleans",Orleans,Louisiana,70130,"2016-08-22 19:22:51"
62,MA,01A5F663-3EC2-467B-8342-D57E10DF2792,Boston,Suffolk,Massachusetts,02108,"2016-09-22 20:06:31"
63,NE,991A2541-5310-447E-BB2D-AC5453A9C2F4,Omaha,Douglas,Nebraska,68102,"2016-09-27 17:47:02"
64,NY,98C3E1D1-32F2-4CD4-8374-CFCDA428955B,Albany,"New York","New York",12205,"2016-08-19 20:55:13"
65,SD,C44F2384-2519-432D-B2B7-06AA4CF65844,"Rapid City ",Pennington,"South Dakota",57701,"2016-10-10 01:58:53"
66,UT,8943831C-106C-4F66-9109-20181C24A677,"Salt Lake City","Salt Lake",Utah,84111,"2017-01-17 19:48:15"
67,VA,2EC01BF0-EC96-42DD-B072-8E28DD12FD54,"Virginia Beach","Virginia Beach city",Virginia,23462,"2016-08-22 15:33:30"
68,WY,D292D199-16CE-4019-AAB5-3410C2DFEF92,Cheyenne,Laramie,Wyoming,82003,"2016-08-23 20:37:30"
69,AK,6D92693B-9FDB-4CEC-9D2A-18B133034C44,Anchorage,"Anchorage Municipality",Alaska,99507,"2016-09-13 16:20:05"
70,IL,29A7E6E3-4CF9-4377-B6D2-60B486AF81E3,"Rock Island","Rock Island",Illinois,61265,"2016-09-30 21:22:02"
71,KS,D2EF60EB-3302-40F5-A0C2-2C9D7A6DAEA1,"Overland Park",Johnson,Kansas,66212,"2016-09-28 18:12:09"
72,LA,C895A79E-5820-4128-9B9B-F2983CA1AABE,"Baton Rouge","East Baton Rouge",Louisiana,70808,"2016-08-23 17:43:45"
73,MA,1386507E-A4E8-4F3E-A0BE-E72892C5369D,"Boston ",Suffolk,Massachusetts,02111,"2016-09-22 20:09:48"
74,MD,495FE453-C87D-4393-AB2E-8F66B839CA28,Towson,Baltimore,Maryland,21204,"2016-10-04 15:08:17"
75,MO,ACB9F87F-7C65-448F-A7BF-AF4D67214C5D,"Saint Louis","St. Louis",Missouri,63119,"2016-11-22 04:43:57"
76,NE,4F1F7CFC-8D8E-4BE6-B39A-8D4383DA9ADF,Omaha,Douglas,Nebraska,68114,"2016-09-27 18:55:11"
77,NY,0A0E3105-E869-49C2-A460-3336C6923564,Larchmont,Westchester,"New York",10538,"2016-08-20 02:00:19"
78,SD,98F712D1-B090-46B6-88AF-80DEAA4DC4D8,"Sioux Falls",Minnehaha,"South Dakota",57108,"2016-10-10 11:46:13"
79,VA,80C09FF3-1CCD-4579-A45B-D0A1E43AFCEE,Tazewell,Tazewell,Virginia,24651,"2016-08-22 15:34:10"
80,AK,C4EA5672-72E4-47CD-A4C2-E4A7C874E40A,Anchorage,"Anchorage Municipality",Alaska,99501,"2016-09-13 23:05:16"
81,IL,A77B7BDC-AE26-48F5-97EA-BCA8D571DE18,Joliet,Will,Illinois,60435,"2016-10-01 01:56:48"
82,KS,0EC0F357-E92E-4BE8-99D8-CF102FB40584,Brewster,Thomas,Kansas,67732,"2016-09-29 03:01:34"
83,LA,C96A591E-0966-4012-B21C-75FFFEE2E1F3,Metairie,Jefferson,Louisiana,70001,"2016-08-23 18:01:22"
84,MA,95C8CF0D-8B61-4DFA-82B8-D7B4757303B7,Haverhill,Essex,Massachusetts,01830,"2016-09-23 01:33:46"
85,MD,50A653AC-F3FE-44B0-B4A3-A241018C04D8,Baltimore,"Baltimore city",Maryland,21202,"2016-10-04 15:19:17"
86,NE,D42C2BE6-88C0-4C49-BC30-739DB6AC38AA,Omaha,Douglas,Nebraska,68114,"2016-09-27 19:46:00"
87,NY,4DC87493-63F8-4D52-AFCB-3FC0A97F5AC7,Syracuse,Onondaga,"New York",13204,"2016-08-22 13:31:35"
88,VA,BD620560-53E3-46A3-861C-96DB1C46C8E1,TAZEWELL,Tazewell,Virginia,24651,"2016-08-22 15:38:05"
89,AK,4EA374D7-5628-468A-84C1-A0D21D09A17A,Juneau,"Juneau City and Borough",Alaska,99811,"2016-09-15 18:38:46"
90,AR,21D8ECFB-27C5-4645-809F-467B7E667657,Bentonville,Benton,Arkansas,72712,"2016-10-18 15:22:04"
91,FL,F8086E84-B308-47B9-82A3-9FE50BA004F4,Tallahassee,Leon,Florida,32399,"2017-03-06 02:59:04"
92,IL,0AF59B8F-A4E3-4F36-8274-38D0272E9D26,Chicago,Cook,Illinois,60640,"2016-10-01 18:24:58"
93,KS,9C2422A1-19BA-4704-ADAE-102A14A30D87,Topeka,Shawnee,Kansas,66610,"2016-10-04 22:21:44"
94,LA,1933C418-D0C1-4D33-9974-07D9B726A855,"New Orleans","Orleans Parish",Louisiana,70118,"2016-08-23 18:37:00"
95,MA,5D0EC9D4-9876-4DD7-9187-251A5B307CBF,Boston,Suffolk,Massachusetts,02116,"2016-09-23 20:31:04"
96,MD,BCDAC52C-EE70-4587-BC83-824B6241ECEB,Baltimore,"Baltimore city",Maryland,21230,"2016-10-04 16:01:39"
97,MI,0AEB2579-7C7F-4F30-98FF-41A29A17E18F,Lansing,Ingham,Michigan,48915,"2017-02-23 18:54:34"
98,MO,288357E6-45B6-4B39-99EF-7466037EC519,"Jefferson City",Cole,Missouri,65102,"2016-11-30 21:14:01"
99,NE,074FD4AA-08B1-454B-B7AC-8502F7EBA687,Lincoln,Lancaster,Nebraska,68583,"2016-09-27 19:50:02"
100,NM,3A4C8924-5894-460E-8ABD-D9D6D4404B6A,Albuquerque,Bernalillo,"New Mexico",87102,"2017-01-12 16:51:58"
101,NY,4DEC7288-AEB1-4D2B-9635-AA935C24A295,"Syracuse ",Onondaga,"New York",13202,"2016-08-22 14:53:40"
102,SD,248C3063-F4EE-4164-86F3-EB0E4FF185B5,"Sioux Falls",Minnehaha,"South Dakota",57104,"2016-10-10 13:27:44"
103,VA,9B49F0B3-18E3-42D7-ADDB-A4260FB2DCA9,Clifton,Fairfax,Virginia,20124,"2016-08-22 15:38:09"
104,AK,28FB7346-97FB-4B90-862E-B9FDC46DBADF,Anchorage,"Anchorage Municipality",Alaska,99501,"2016-09-15 22:03:10"
105,AR,62FE5877-D701-4278-8288-E8C87260DF47,"Little Rock",Pulaski,Arkansas,72211,"2016-10-18 15:35:27"
106,GA,E2885930-C1AE-4242-A9B0-E13E0A952FBB,Atlanta,Fulton,Georgia,30309,"2016-10-31 12:26:44"
107,IA,0756BE00-DAA2-44E9-822D-10591DCD48F3,"Des Moines",Polk,Iowa,50309,"2017-04-17 14:08:52"
108,IL,1BC1091C-2A16-47BB-935F-2684AE44CD89,Chicago,Cook,Illinois,60603,"2016-10-04 21:02:06"
109,IN,8EDE0F77-C15D-46CB-B7FC-BB1CD08BA32A,Carmel,Marion,Indiana,46032,"2016-11-15 06:40:39"
110,LA,85B11AD9-C420-472B-BD0B-F7E65FE2B12C,"New Orleans",Orleans,Louisiana,70127,"2016-08-23 18:47:25"
111,MA,1A53E74A-E457-4E02-A7C4-297D39D5C375,Boston,Middlesex,Massachusetts,02110,"2016-09-28 20:57:01"
112,MI,5CEB2075-A1AE-4A0A-B910-00F4E449C218,"Grand Blanc",Genesee,Michigan,48439,"2017-02-28 19:11:07"
113,MO,8C3DE4A8-576C-455D-B3B2-9D6599DB5AC3,Chesterfield,"St. Louis",Missouri,63017,"2016-12-02 18:45:38"
114,NE,8BBF649C-4F43-42C6-B433-5301CA5CD168,Omaha,Douglas,Nebraska,68104,"2016-09-27 20:37:34"
115,PA,0FFCAC5E-0F74-4308-91C2-4009EB2F37F6,Glenside,Philadelphia,Pennsylvania,19038,"2021-05-20 20:00:23"
116,SD,1F844688-03DF-4515-82B1-E675B249F30C,Aberdeen,Brown,"South Dakota",57401,"2016-10-10 14:42:57"
117,UT,5FA337DE-237F-42E0-BB7A-895D8CD9532E,Provo,Utah,Utah,84601,"2017-03-07 22:44:21"
118,VA,A7C0ECA3-1EE2-4E8F-BF29-ECB76944E940,Fairfax,Fairfax,Virginia,22030,"2016-08-22 15:41:37"
119,VT,82C1542B-0741-4469-9D74-733149FD2F61,Pawtucket,Windham,Vermont,02860,"2016-10-14 12:08:14"
120,WY,A07993A9-8B45-472A-961D-02AD1773F01D,Cheyenne,Laramie,Wyoming,82001,"2016-08-24 15:01:44"
121,AK,07E0234F-4F6B-4695-A084-FD414DC1A39F,Juneau,"Juneau City and Borough",Alaska,99811,"2016-09-21 18:00:48"
122,IA,D908E10D-A4BF-40FF-BFBB-5DB1B3C64C11,Dubuque,Dubuque,Iowa,52001,"2017-04-17 16:52:49"
123,IN,5360FC83-CE02-4A06-A0EB-5D7840F778A2,Indianapolis,Marion,Indiana,46204,"2016-10-12 18:41:56"
124,KS,BB1B9626-6E15-40E1-9683-D7447BD90636,Emporia,Lyon,Kansas,66801,"2016-10-05 17:49:05"
125,LA,FE688B86-C2E3-4A2A-A585-B57AD62CF62A,"New Orleans",Orleans,Louisiana,70130,"2016-08-23 20:01:30"
126,MA,EB7D0D59-48B4-451B-AF35-84BF4BF8715D,Boston,Suffolk,Massachusetts,02108,"2016-09-29 14:50:32"
127,MD,B98140D2-5357-485D-A386-90FFD80D5A31,Bethesda,Montgomery,Maryland,20817,"2016-10-04 16:13:12"
128,MI,0E4F4EBA-F0A0-4751-BBF7-26C0F991B1E6,Lansing,Ingham,Michigan,48917,"2017-03-03 10:57:26"
129,MO,C6A2C3BD-2DE4-4048-B9C9-96B2428EFF13,"Richmond Heights","St. Louis",Missouri,63117,"2016-12-04 15:39:25"
130,MS,6EF43441-7E9B-4739-B453-40D06ED20B9F,Jackson,Hinds,Mississippi,39215,"2016-08-31 18:38:25"
131,NE,3A34EAF0-6749-4A61-9DD4-F5B9E0C037B3,Omaha,Douglas,Nebraska,68114,"2016-09-27 22:20:33"
132,NM,BA2DBEE1-8B3D-457A-A8EB-64389CC95BDB,"El Paso","DoÃƒÂ±a Ana","New Mexico",79902,"2017-01-24 17:46:29"
133,NY,C757AA57-D9F3-4EA2-8E26-D49A4A7F3723,"New York","New York","New York",10018,"2016-08-22 15:52:10"
134,PA,C5B5FD9C-81C7-4C74-85DD-C2408C4370B2,"State College",Centre,Pennsylvania,16801,"2021-05-21 12:32:02"
135,SD,DA96FD26-A58E-411C-B355-D8A223023B0D,"Belle Fourche",Butte,"South Dakota",57717,"2016-10-10 14:51:54"
136,VA,B79DB307-4718-4894-8E0A-D22EED315045,Richmond,Henrico,Virginia,23294,"2016-08-22 15:46:34"
137,VT,4CE94A50-970C-46FB-9A1B-B75E73433ECA,"St Johnsbury",Caledonia,Vermont,05819,"2016-10-14 19:01:10"
138,AK,87430600-A78A-4A3F-8A65-25848CE709A5,Fairbanks,"Fairbanks North Star Borough",Alaska,99701,"2016-09-21 18:06:32"
139,AR,09D61694-0F42-4D6B-9CE5-D2DAFBAC4DB2,"Little Rock",Pulaski,Arkansas,72211,"2016-10-18 16:09:08"
140,CA,E69588DA-4A00-4977-953F-D4D563821894,"San Francisco","San Francisco",California,94105,"2020-08-07 21:25:42"
141,FL,7DF7B84B-DC02-454D-BF99-3BA782BA8133,"FORT MYERS",Lee,Florida,33907,"2017-03-07 15:09:31"
142,IA,2BE635E8-D366-4E6C-BF72-A52F058C3841,"Des Moines",Polk,Iowa,50309,"2017-04-17 17:19:54"
143,IL,29EA7528-EE91-4591-A41A-C4D59292E84F,Chicago,Cook,Illinois,60606,"2016-10-05 20:17:40"
144,IN,D3758795-A233-4102-AE52-5E364484531F,Indianapolis,Marion,Indiana,26204,"2016-08-31 23:13:14"
145,MA,1A3257AA-5089-4FD3-B7CB-A36D11212635,"Fall River",Bristol,Massachusetts,02721,"2016-09-30 12:33:46"
146,MI,D09B7E96-5A03-49D0-9704-44541062A207,"Grand Rapids",Kent,Michigan,49503,"2017-03-06 13:43:35"
147,MO,EFE3DEA7-33A8-45CD-BE68-4FB1867F8D5B,Sikeston,Scott,Missouri,63801,"2016-12-05 16:15:15"
148,NE,43C35C24-9973-463E-A7A6-4F1D62A88B68,Omaha,Douglas,Nebraska,68154,"2016-09-28 15:37:01"
149,NJ,9D405BBC-EEFA-439A-AC1A-88A3EF1913D2,"New Brunswick",Middlesex,"New Jersey",08901,"2020-04-15 22:00:36"
150,NM,A0087799-5B94-45BC-B3FD-C5FB25CA6F1E,"Rio Rancho",Sandoval,"New Mexico",87124,"2017-01-24 20:02:40"
151,NY,EC81FF4A-DF77-4ABE-B273-983863D54157,"White Plains",Westchester,"New York",10605,"2016-08-22 16:08:27"
152,PA,38215182-C8E7-41BA-85C4-3961704F86D5,Pittsburgh,Allegheny,Pennsylvania,15222,"2021-05-21 16:59:50"
153,SD,F6988CAB-260C-4F9E-A56A-05E1BEE679CB,"Rapid City",Pennington,"South Dakota",57702,"2016-10-10 17:20:22"
154,UT,F57E01A0-B911-44FE-9DA9-B33D59DE93CE,"Salt Lake City","Salt Lake",Utah,84101,"2017-03-08 15:52:03"
155,VA,A1DE32EA-3073-4606-9637-046B3AC77355,Arlington,Fairfax,Virginia,22201,"2016-08-22 15:51:55"
156,VI,E071F65D-7715-4411-BA0D-756F4B485FA1,"St. Thomas","St. Thomas","U.S. Virgin Islands",00802,"2017-09-22 21:30:12"
157,VT,DC267EE6-E37F-4299-A12E-0341B531E37C,Burlington,Chittenden,Vermont,05401,"2016-10-14 19:18:22"
158,WY,D9312694-12C6-47EB-BC95-687A164FDA4E,Hendersonville,Albany,Wyoming,37075,"2016-08-24 21:33:17"
159,AK,CC80F0B0-E7EF-4D2A-A67E-6FEE88D4D2F7,Anchorage,"Anchorage Municipality",Alaska,99501,"2016-09-22 00:05:19"
160,AR,35EB1942-1238-4C2D-AE23-65120327D1C6,"Little Rock",Pulaski,Arkansas,72205,"2016-10-18 16:20:01"
161,AZ,63FE0267-70F1-4E14-9027-3851A0C9BE10,Phoenix,Apache,Arizona,85016,"2017-06-30 01:47:51"
162,FL,2DD3E58D-C773-4428-9C1B-FCFB31C571B2,Jacksonville,Duval,Florida,32256,"2017-03-07 15:10:25"
163,GA,73690904-34D3-49E6-93E6-818ED1BED4BD,Atlanta,Fulton,Georgia,30309,"2016-10-31 15:55:47"
164,IA,84F0A5CD-7BEB-448C-854F-EC1F43E802EE,Coralville,Iowa,Iowa,52241,"2017-04-17 18:34:12"
165,IN,8BEC68C9-366F-45F2-8681-309B4B2FCBB4,Westville,Porter,Indiana,46391,"2016-06-20 20:21:55"
166,MA,11296031-EA06-4DDD-B10E-5D6CBAF80FAD,Quincy,Middlesex,Massachusetts,02170,"2016-09-30 18:45:33"
167,MD,E26E4322-2D51-4917-9055-E6B98C17C009,"Silver Spring",Montgomery,Maryland,20901,"2016-10-04 17:08:23"
168,MI,0DB1A7FD-A583-442C-812C-10D5382128AF,Lansing,Ingham,Michigan,48917,"2017-03-06 15:01:46"
169,MO,4977FC0D-0968-4AA2-948D-C6F5A17233A3,"Overland Park",Jackson,Missouri,66212,"2016-12-23 20:28:39"
170,ND,1F46133D-9D24-4671-8449-341E7B0CBF6B,Bismarck,Burleigh,"North Dakota",58501,"2021-02-09 08:03:40"
171,NE,022DDF6F-BB70-4596-9DE6-7B0661C3805A,Norfolk,Madison,Nebraska,68701,"2016-09-28 15:57:48"
172,NJ,E32DFE64-C0AD-44EB-AE67-77E043FB5CBF,HACKENSACK,Bergen,"New Jersey",07601,"2020-04-20 14:34:22"
173,NM,5DA5E3AD-AD1F-4CA1-B945-6AFA07E73837,Albuquerque,Bernalillo,"New Mexico",87194,"2017-01-24 22:58:59"
174,NY,7115A414-169F-4254-BC12-A1AB5B57B56E,"new city",Rockland,"New York",10956,"2016-08-22 17:42:47"
175,OK,39282767-932C-4F54-9541-DD315E72605A,Tulsa,Tulsa,Oklahoma,74119,"2016-08-17 21:22:30"
176,PA,36A334BD-C7D1-4571-8984-E7CC9F3109E0,Harrisburg,Dauphin,Pennsylvania,17101,"2021-05-24 15:49:08"
177,SD,3CB9A9FA-BEAD-468D-A8B8-FA940B392677,"Sioux Falls",Minnehaha,"South Dakota",57104,"2016-10-13 15:02:21"
178,TX,7C429A81-6DDA-404E-98A6-6140F4684620,Austin,Travis,Texas,78701,"2017-04-03 20:42:58"
179,UT,8D9CB961-FA00-4769-8BFC-754E6FA7C16B,Kaysville,Davis,Utah,84037,"2017-03-08 16:04:48"
180,VA,CB63A2C2-FDE3-4774-AB2A-B730017E8039,Midlothian,"Richmond (city)",Virginia,23112,"2016-08-22 15:56:26"
181,VI,380A3E10-E225-42CE-B0BD-98F144303C84,"St. Thomas","St. Thomas","U.S. Virgin Islands",00802,"2018-03-26 19:42:28"
182,VT,4507BF29-46B8-4405-93E3-EE0F62A99577,Chesterfield,Windham,Vermont,03443,"2016-10-14 21:05:42"
183,AK,78B9C484-67B8-4504-BA43-1D8E44E4EB5C,Juneau,"Juneau City and Borough",Alaska,99801,"2016-09-29 16:08:24"
184,AR,2EE55BA4-F2F6-4547-91F2-A0D5C711FA65,"Little Rock",Pulaski,Arkansas,72201,"2016-10-18 17:24:09"
185,AZ,BD61DFB8-64BE-4663-8898-DC32A317040E,Phoenix,Maricopa,Arizona,85004,"2017-06-20 19:43:56"
186,CA,FD4CAE7E-1995-48D1-A61C-F3A4CC9B2657,"LOS ANGELES","Los Angeles",California,90071,"2020-08-11 18:45:54"
187,FL,2950381A-32CB-4B69-AE0C-1A6C32F2F877,Orlando,Orange,Florida,32835,"2017-03-07 15:11:47"
188,GA,956079BB-0D45-4AB6-86F2-37F6E92CF5A5,Atlanta,Fulton,Georgia,30309,"2016-10-31 19:01:04"
189,IA,4DD6A135-2F0F-40FC-A4FE-131E59F9243B,"West Des Moines",Polk,Iowa,50266,"2017-04-17 21:01:50"
190,IL,F9697B3F-1B1D-4165-8A3C-5F4DE91FC306,Chicago,Cook,Illinois,60603,"2016-10-06 20:17:53"
191,IN,3F5986E9-83BB-411B-9505-583BF7B63410,"Fort Wayne",Allen,Indiana,46802,"2016-06-20 19:22:18"
192,LA,AB20EF97-9784-4786-8273-35C496EA2268,Metairie,"Jefferson Parish",Louisiana,70003,"2016-08-23 21:27:15"
193,MA,11C72A32-B60B-437B-97A0-AE7F80E7FA7F,Concord,Suffolk,Massachusetts,03301,"2016-10-05 12:58:06"
194,MD,2EA32D7A-4EC4-4662-803C-D6B6AE8AA2E5,Baltimore,"Baltimore city",Maryland,21202,"2016-10-04 17:18:20"
195,ME,D7BDCF07-EB75-457A-B4E1-6408D5D24200,Falmouth,Cumberland,Maine,04105,"2017-05-04 15:18:11"
196,MI,285EF780-8901-420D-84AB-3695CA7E1AFC,"Grand Blanc",Genesee,Michigan,48439,"2017-03-06 17:53:28"
197,MO,BF28EF33-D514-4BE1-85DF-70772D4BD7FD,"St. Louis","St. Louis city",Missouri,63131,"2016-12-30 20:52:54"
198,NE,497022E0-B861-4603-97A4-3971746F6101,Omaha,Douglas,Nebraska,68112,"2016-09-28 16:02:38"
199,NJ,D64B29BA-132F-4C9A-8696-C83CCD76FBA0,"West Long Branch",Monmouth,"New Jersey",07764,"2020-04-20 16:07:39"
200,NM,FC6CB059-8254-4130-93DD-5EFB3F8CCCD6,"Las Cruces","DoÃƒÂ±a Ana","New Mexico",88011,"2017-01-25 02:03:08"
201,OK,6CF2C506-C47F-47AB-A38A-6A51BA3175EA,Tulsa,Tulsa,Oklahoma,74119,"2016-08-17 21:39:36"
202,PA,9B6EBF83-8A2F-4FF2-8E9A-B9672EA03DD1,Hershey,Dauphin,Pennsylvania,17033,"2021-05-24 16:23:10"
203,UT,EF48205D-A408-4C5E-A4F8-3FE15595C3FB,"Saint George",Washington,Utah,84770,"2017-03-08 22:55:33"
